player_id,year,team,games_played,feat_prev_cpi,feat_prev_disposals,feat_prev_goals,feat_prev_games,feat_career_seasons,feat_position_proxy,target_is_top_disposal,target_is_top_goal,target_is_top_cpi,target_cpi_raw
45141,2020,Melbourne Demons,12,37.75000000000001,14.8,1.3,4.0,3,Forward,0,0,0,25.35
45141,2021,Melbourne Demons,4,25.35,11.8,0.1,12.0,4,General,0,0,0,13.45
45142,2020,Western Bulldogs,12,,,,,0,General,0,0,0,23.650000000000002
45142,2021,Western Bulldogs,7,23.650000000000002,9.8,0.8,12.0,1,General,0,0,0,22.3
45142,2022,Western Bulldogs,9,22.3,10.0,0.6,7.0,2,General,0,0,0,23.4
45142,2023,Western Bulldogs,11,23.4,11.2,0.4,9.0,3,General,0,0,0,27.35
45142,2024,Western Bulldogs,23,27.35,13.4,0.2,11.0,4,General,0,0,0,27.5
45142,2025,Western Bulldogs,19,27.5,9.8,1.1,23.0,5,General,0,0,0,28.8
45143,2011,Geelong Cats,9,,,,,0,General,0,0,0,18.700000000000003
45143,2012,Geelong Cats,1,18.700000000000003,6.9,0.7,9.0,1,Ruck,0,0,0,26.0
45143,2013,Geelong Cats,7,26.0,9.0,1.0,1.0,2,General,0,0,0,25.000000000000004
45143,2015,Geelong Cats,3,25.000000000000004,9.3,1.3,7.0,3,Ruck,0,0,0,30.450000000000003
45143,2016,Geelong Cats,1,30.450000000000003,13.0,1.7,3.0,4,Ruck,0,0,0,21.0
45143,2017,West Coast Eagles,20,21.0,6.0,1.0,1.0,5,Ruck,0,0,0,22.799999999999997
45143,2018,West Coast Eagles,7,22.799999999999997,8.7,0.5,20.0,6,Ruck,0,0,0,20.599999999999994
45143,2019,West Coast Eagles,11,20.599999999999994,7.3,0.7,7.0,7,Ruck,0,0,0,16.65
45143,2021,West Coast Eagles,9,16.65,6.5,0.0,11.0,8,Ruck,0,0,0,11.400000000000002
45144,2007,GEELONG CATS,18,,,,,0,General,0,0,0,22.099999999999998
45144,2008,GEELONG CATS,13,22.099999999999998,8.0,0.8,18.0,1,General,0,0,0,31.500000000000004
45144,2009,GEELONG CATS,19,31.500000000000004,11.3,0.9,13.0,2,General,0,0,0,32.35000000000001
45144,2010,GEELONG CATS,17,32.35000000000001,14.3,1.1,19.0,3,General,0,0,0,38.5
45144,2011,GEELONG CATS,21,38.5,15.6,1.5,17.0,4,Forward,0,0,0,33.650000000000006
45144,2012,GEELONG CATS,1,33.650000000000006,16.6,1.2,21.0,5,General,0,0,0,4.0
45144,2013,GEELONG CATS,11,4.0,2.0,0.0,1.0,6,General,0,0,0,27.55
45144,2014,GEELONG CATS,21,27.55,10.9,0.7,11.0,7,General,0,0,0,32.59999999999999
45144,2015,COLLINGWOOD MAGPIES,22,32.59999999999999,15.3,0.4,21.0,8,General,0,0,0,36.949999999999996
45144,2016,COLLINGWOOD MAGPIES,17,36.949999999999996,17.2,0.5,22.0,9,General,0,0,0,34.400000000000006
